Asiakas: Stenvalvet 235 Bjuv Bjuv AB (800060),Unnamed: 1,Unnamed: 2
19.4.2020 0.00,0.069,0
19.4.2020 1.00,0.069,0
19.4.2020 2.00,0.069,0
19.4.2020 3.00,0.069,0
19.4.2020 4.00,0.069,0
19.4.2020 5.00,0.069,0
19.4.2020 6.00,0.069,0
19.4.2020 7.00,0.069,0
19.4.2020 8.00,0.069,0
19.4.2020 9.00,0.069,0
19.4.2020 10.00,0.069,0
19.4.2020 11.00,0.068,0
19.4.2020 12.00,0.069,0
19.4.2020 13.00,0.069,0
19.4.2020 14.00,0.069,0
19.4.2020 15.00,0.069,0
19.4.2020 16.00,0.069,0
19.4.2020 17.00,0.069,0
19.4.2020 18.00,0.069,0
19.4.2020 19.00,0.069,0
19.4.2020 20.00,0.069,0
19.4.2020 21.00,0.069,0
19.4.2020 22.00,0.069,0
19.4.2020 23.00,0.069,0
20.4.2020 0.00,0.069,0
20.4.2020 1.00,0.069,0
20.4.2020 2.00,0.069,0
20.4.2020 3.00,0.069,0
20.4.2020 4.00,0.069,0
20.4.2020 5.00,0.068,0
20.4.2020 6.00,0.069,0
20.4.2020 7.00,0.069,0
20.4.2020 8.00,0.069,0
20.4.2020 9.00,0.069,0
20.4.2020 10.00,0.069,0
20.4.2020 11.00,0.069,0
20.4.2020 12.00,0.069,0
20.4.2020 13.00,0.069,0
20.4.2020 14.00,0.069,0
20.4.2020 15.00,0.069,0
20.4.2020 16.00,0.069,0
20.4.2020 17.00,0.069,0
20.4.2020 18.00,0.069,0
20.4.2020 19.00,0.069,0
20.4.2020 20.00,0.069,0
20.4.2020 21.00,0.069,0
20.4.2020 22.00,0.069,0
20.4.2020 23.00,0.069,0
21.4.2020 0.00,0.068,0
21.4.2020 1.00,0.069,0
21.4.2020 2.00,0.069,0
21.4.2020 3.00,0.069,0
21.4.2020 4.00,0.069,0
21.4.2020 5.00,0.069,0
21.4.2020 6.00,0.069,0
21.4.2020 7.00,0.069,0
21.4.2020 8.00,0.069,0
21.4.2020 9.00,0.069,0
21.4.2020 10.00,0.069,0
21.4.2020 11.00,0.069,0
21.4.2020 12.00,0.069,0
21.4.2020 13.00,0.069,0
21.4.2020 14.00,0.069,0
21.4.2020 15.00,0.069,0
21.4.2020 16.00,0.069,0
21.4.2020 17.00,0.069,0
21.4.2020 18.00,0.069,0
21.4.2020 19.00,0.068,0
21.4.2020 20.00,0.069,0
21.4.2020 21.00,0.069,0
21.4.2020 22.00,0.069,0
21.4.2020 23.00,0.069,0
22.4.2020 0.00,0.069,0
22.4.2020 1.00,0.069,0
22.4.2020 2.00,0.069,0
22.4.2020 3.00,0.069,0
22.4.2020 4.00,0.069,0
22.4.2020 5.00,0.069,0
22.4.2020 6.00,0.069,0
22.4.2020 7.00,0.069,0
22.4.2020 8.00,0.069,0
22.4.2020 9.00,0.069,0
22.4.2020 10.00,0.069,0
22.4.2020 11.00,0.069,0
22.4.2020 12.00,0.069,0
22.4.2020 13.00,0.069,0
22.4.2020 14.00,0.068,0
22.4.2020 15.00,0.069,0
22.4.2020 16.00,0.069,0
22.4.2020 17.00,0.069,0
22.4.2020 18.00,0.069,0
22.4.2020 19.00,0.069,0
22.4.2020 20.00,0.069,0
22.4.2020 21.00,0.069,0
22.4.2020 22.00,0.069,0
22.4.2020 23.00,0.069,0
23.4.2020 0.00,0.069,0
23.4.2020 1.00,0.069,0
23.4.2020 2.00,0.069,0
23.4.2020 3.00,0.069,0
23.4.2020 4.00,0.069,0
23.4.2020 5.00,0.069,0
23.4.2020 6.00,0.069,0
23.4.2020 7.00,0.069,0
23.4.2020 8.00,0.068,0
23.4.2020 9.00,0.069,0
23.4.2020 10.00,0.069,0
23.4.2020 11.00,0.069,0
23.4.2020 12.00,0.069,0
23.4.2020 13.00,0.069,0
23.4.2020 14.00,0.069,0
23.4.2020 15.00,0.069,0
23.4.2020 16.00,0.069,0
23.4.2020 17.00,0.069,0
23.4.2020 18.00,0.069,0
23.4.2020 19.00,0.069,0
23.4.2020 20.00,0.069,0
23.4.2020 21.00,0.069,0
23.4.2020 22.00,0.069,0
23.4.2020 23.00,0.069,0
24.4.2020 0.00,0.069,0
24.4.2020 1.00,0.069,0
24.4.2020 2.00,0.069,0
24.4.2020 3.00,0.068,0
24.4.2020 4.00,0.069,0
24.4.2020 5.00,0.069,0
24.4.2020 6.00,0.069,0
24.4.2020 7.00,0.069,0
24.4.2020 8.00,0.069,0
24.4.2020 9.00,0.069,0
24.4.2020 10.00,0.069,0
24.4.2020 11.00,0.069,0
24.4.2020 12.00,0.069,0
24.4.2020 13.00,0.069,0
24.4.2020 14.00,0.069,0
24.4.2020 15.00,0.069,0
24.4.2020 16.00,0.069,0
24.4.2020 17.00,0.069,0
24.4.2020 18.00,0.069,0
24.4.2020 19.00,0.069,0
24.4.2020 20.00,0.069,0
24.4.2020 21.00,0.069,0
24.4.2020 22.00,0.068,0
24.4.2020 23.00,0.069,0
25.4.2020 0.00,0.069,0
25.4.2020 1.00,0.069,0
25.4.2020 2.00,0.069,0
25.4.2020 3.00,0.069,0
25.4.2020 4.00,0.069,0
25.4.2020 5.00,0.069,0
25.4.2020 6.00,0.069,0
25.4.2020 7.00,0.069,0
25.4.2020 8.00,0.069,0
25.4.2020 9.00,0.069,0
25.4.2020 10.00,0.069,0
25.4.2020 11.00,0.069,0
25.4.2020 12.00,0.069,0
25.4.2020 13.00,0.069,0
25.4.2020 14.00,0.069,0
25.4.2020 15.00,0.069,0
25.4.2020 16.00,0.069,0
25.4.2020 17.00,0.068,0
25.4.2020 18.00,0.069,0
25.4.2020 19.00,0.069,0
25.4.2020 20.00,0.069,0
25.4.2020 21.00,0.069,0
25.4.2020 22.00,0.069,0
25.4.2020 23.00,0.069,0
26.4.2020 0.00,0.069,0
26.4.2020 1.00,0.069,0
26.4.2020 2.00,0.069,0
26.4.2020 3.00,0.069,0
26.4.2020 4.00,0.069,0
26.4.2020 5.00,0.069,0
26.4.2020 6.00,0.069,0
26.4.2020 7.00,0.069,0
26.4.2020 8.00,0.069,0
26.4.2020 9.00,0.069,0
26.4.2020 10.00,0.069,0
26.4.2020 11.00,0.068,0
26.4.2020 12.00,0.069,0
26.4.2020 13.00,0.069,0
26.4.2020 14.00,0.069,0
26.4.2020 15.00,0.069,0
26.4.2020 16.00,0.069,0
26.4.2020 17.00,0.069,0
26.4.2020 18.00,0.069,0
26.4.2020 19.00,0.069,0
26.4.2020 20.00,0.069,0
26.4.2020 21.00,0.069,0
26.4.2020 22.00,0.069,0
26.4.2020 23.00,0.069,0
27.4.2020 0.00,0.069,0
27.4.2020 1.00,0.069,0
27.4.2020 2.00,0.069,0
27.4.2020 3.00,0.069,0
27.4.2020 4.00,0.069,0
27.4.2020 5.00,0.069,0
27.4.2020 6.00,0.068,0
27.4.2020 7.00,0.069,0
27.4.2020 8.00,0.069,0
27.4.2020 9.00,0.069,0
27.4.2020 10.00,0.069,0
27.4.2020 11.00,0.069,0
27.4.2020 12.00,0.069,0
27.4.2020 13.00,0.069,0
27.4.2020 14.00,0.069,0
27.4.2020 15.00,0.069,0
27.4.2020 16.00,0.069,0
27.4.2020 17.00,0.069,0
27.4.2020 18.00,0.069,0
27.4.2020 19.00,0.069,0
27.4.2020 20.00,0.069,0
27.4.2020 21.00,0.069,0
27.4.2020 22.00,0.069,0
27.4.2020 23.00,0.069,0
28.4.2020 0.00,0.069,0
28.4.2020 1.00,0.068,0
28.4.2020 2.00,0.069,0
28.4.2020 3.00,0.069,0
28.4.2020 4.00,0.069,0
28.4.2020 5.00,0.069,0
28.4.2020 6.00,0.069,0
28.4.2020 7.00,0.069,0
28.4.2020 8.00,0.069,0
28.4.2020 9.00,0.069,0
28.4.2020 10.00,0.069,0
28.4.2020 11.00,0.069,0
28.4.2020 12.00,0.069,0
28.4.2020 13.00,0.069,0
28.4.2020 14.00,0.069,0
28.4.2020 15.00,0.069,0
28.4.2020 16.00,0.069,0
28.4.2020 17.00,0.069,0
28.4.2020 18.00,0.069,0
28.4.2020 19.00,0.069,0
28.4.2020 20.00,0.068,0
28.4.2020 21.00,0.069,0
28.4.2020 22.00,0.069,0
28.4.2020 23.00,0.069,0
29.4.2020 0.00,0.069,0
29.4.2020 1.00,0.069,0
29.4.2020 2.00,0.069,0
29.4.2020 3.00,0.069,0
29.4.2020 4.00,0.069,0
29.4.2020 5.00,0.069,0
29.4.2020 6.00,0.069,0
29.4.2020 7.00,0.069,0
29.4.2020 8.00,0.069,0
29.4.2020 9.00,0.069,0
29.4.2020 10.00,0.069,0
29.4.2020 11.00,0.069,0
29.4.2020 12.00,0.069,0
29.4.2020 13.00,0.069,0
29.4.2020 14.00,0.068,0
29.4.2020 15.00,0.069,0
29.4.2020 16.00,0.069,0
29.4.2020 17.00,0.069,0
29.4.2020 18.00,0.069,0
29.4.2020 19.00,0.069,0
29.4.2020 20.00,0.069,0
29.4.2020 21.00,0.069,0
29.4.2020 22.00,0.069,0
29.4.2020 23.00,0.069,0
30.4.2020 0.00,0.069,0
30.4.2020 1.00,0.069,0
30.4.2020 2.00,0.069,0
30.4.2020 3.00,0.069,0
30.4.2020 4.00,0.069,0
30.4.2020 5.00,0.069,0
30.4.2020 6.00,0.069,0
30.4.2020 7.00,0.069,0
30.4.2020 8.00,0.069,0
30.4.2020 9.00,0.068,0
30.4.2020 10.00,0.069,0
30.4.2020 11.00,0.069,0
30.4.2020 12.00,0.069,0
30.4.2020 13.00,0.069,0
30.4.2020 14.00,0.069,0
30.4.2020 15.00,0.069,0
30.4.2020 16.00,0.069,0
30.4.2020 17.00,0.069,0
30.4.2020 18.00,0.069,0
30.4.2020 19.00,0.047,0
30.4.2020 20.00,0.048,0
30.4.2020 21.00,0.047,0
30.4.2020 22.00,0.048,0
30.4.2020 23.00,0.047,0
1.5.2020 0.00,0.047,0
1.5.2020 1.00,0.048,0
1.5.2020 2.00,0.047,0
1.5.2020 3.00,0.047,0
1.5.2020 4.00,0.048,0
1.5.2020 5.00,0.047,0
1.5.2020 6.00,0.048,0
1.5.2020 7.00,0.047,0
1.5.2020 8.00,0.047,0
1.5.2020 9.00,0.048,0
1.5.2020 10.00,0.047,0
1.5.2020 11.00,0.047,0
1.5.2020 12.00,0.048,0
1.5.2020 13.00,0.047,0
1.5.2020 14.00,0.048,0
1.5.2020 15.00,0.047,0
1.5.2020 16.00,0.047,0
1.5.2020 17.00,0.048,0
1.5.2020 18.00,0.047,0
1.5.2020 19.00,0.047,0
1.5.2020 20.00,0.048,0
1.5.2020 21.00,0.047,0
1.5.2020 22.00,0.048,0
1.5.2020 23.00,0.047,0
2.5.2020 0.00,0.047,0
2.5.2020 1.00,0.048,0
2.5.2020 2.00,0.047,0
2.5.2020 3.00,0.047,0
2.5.2020 4.00,0.048,0
2.5.2020 5.00,0.047,0
2.5.2020 6.00,0.048,0
2.5.2020 7.00,0.047,0
2.5.2020 8.00,0.047,0
2.5.2020 9.00,0.048,0
2.5.2020 10.00,0.047,0
2.5.2020 11.00,0.047,0
2.5.2020 12.00,0.048,0
2.5.2020 13.00,0.047,0
2.5.2020 14.00,0.048,0
2.5.2020 15.00,0.047,0
2.5.2020 16.00,0.047,0
2.5.2020 17.00,0.048,0
2.5.2020 18.00,0.047,0
2.5.2020 19.00,0.047,0
2.5.2020 20.00,0.048,0
2.5.2020 21.00,0.047,0
2.5.2020 22.00,0.048,0
2.5.2020 23.00,0.047,0
3.5.2020 0.00,0.047,0
3.5.2020 1.00,0.048,0
3.5.2020 2.00,0.047,0
3.5.2020 3.00,0.047,0
3.5.2020 4.00,0.048,0
3.5.2020 5.00,0.047,0
3.5.2020 6.00,0.048,0
3.5.2020 7.00,0.047,0
3.5.2020 8.00,0.047,0
3.5.2020 9.00,0.048,0
3.5.2020 10.00,0.047,0
3.5.2020 11.00,0.047,0
3.5.2020 12.00,0.048,0
3.5.2020 13.00,0.047,0
3.5.2020 14.00,0.048,0
3.5.2020 15.00,0.047,0
3.5.2020 16.00,0.047,0
3.5.2020 17.00,0.048,0
3.5.2020 18.00,0.047,0
3.5.2020 19.00,0.047,0
3.5.2020 20.00,0.048,0
3.5.2020 21.00,0.047,0
3.5.2020 22.00,0.048,0
3.5.2020 23.00,0.047,0
4.5.2020 0.00,0.047,0
4.5.2020 1.00,0.048,0
4.5.2020 2.00,0.047,0
4.5.2020 3.00,0.047,0
4.5.2020 4.00,0.048,0
4.5.2020 5.00,0.047,0
4.5.2020 6.00,0.048,0
4.5.2020 7.00,0.047,0
4.5.2020 8.00,0.047,0
4.5.2020 9.00,0.048,0
4.5.2020 10.00,0.047,0
4.5.2020 11.00,0.047,0
4.5.2020 12.00,0.048,0
4.5.2020 13.00,0.047,0
4.5.2020 14.00,0.048,0
4.5.2020 15.00,0.047,0
4.5.2020 16.00,0.047,0
4.5.2020 17.00,0.048,0
4.5.2020 18.00,0.047,0
4.5.2020 19.00,0.047,0
4.5.2020 20.00,0.048,0
4.5.2020 21.00,0.047,0
4.5.2020 22.00,0.048,0
4.5.2020 23.00,0.047,0
5.5.2020 0.00,0.047,0
5.5.2020 1.00,0.048,0
5.5.2020 2.00,0.047,0
5.5.2020 3.00,0.047,0
5.5.2020 4.00,0.048,0
5.5.2020 5.00,0.047,0
5.5.2020 6.00,0.048,0
5.5.2020 7.00,0.047,0
5.5.2020 8.00,0.047,0
5.5.2020 9.00,0.048,0
5.5.2020 10.00,0.047,0
5.5.2020 11.00,0.047,0
5.5.2020 12.00,0.048,0
5.5.2020 13.00,0.047,0
5.5.2020 14.00,0.048,0
5.5.2020 15.00,0.047,0
5.5.2020 16.00,0.047,0
5.5.2020 17.00,0.048,0
5.5.2020 18.00,0.047,0
5.5.2020 19.00,0.047,0
5.5.2020 20.00,0.048,0
5.5.2020 21.00,0.047,0
5.5.2020 22.00,0.048,0
5.5.2020 23.00,0.047,0
6.5.2020 0.00,0.047,0
6.5.2020 1.00,0.048,0
6.5.2020 2.00,0.047,0
6.5.2020 3.00,0.047,0
6.5.2020 4.00,0.048,0
6.5.2020 5.00,0.047,0
6.5.2020 6.00,0.048,0
6.5.2020 7.00,0.047,0
6.5.2020 8.00,0.047,0
6.5.2020 9.00,0.048,0
6.5.2020 10.00,0.047,0
6.5.2020 11.00,0.047,0
6.5.2020 12.00,0.048,0
6.5.2020 13.00,0.047,0
6.5.2020 14.00,0.048,0
6.5.2020 15.00,0.047,0
6.5.2020 16.00,0.047,0
6.5.2020 17.00,0.048,0
6.5.2020 18.00,0.047,0
6.5.2020 19.00,0.047,0
6.5.2020 20.00,0.048,0
6.5.2020 21.00,0.047,0
6.5.2020 22.00,0.048,0
6.5.2020 23.00,0.047,0
7.5.2020 0.00,0.047,0
7.5.2020 1.00,0.048,0
7.5.2020 2.00,0.047,0
7.5.2020 3.00,0.047,0
7.5.2020 4.00,0.048,0
7.5.2020 5.00,0.047,0
7.5.2020 6.00,0.048,0
7.5.2020 7.00,0.047,0
7.5.2020 8.00,0.047,0
7.5.2020 9.00,0.048,0
7.5.2020 10.00,0.047,0
7.5.2020 11.00,0.047,0
7.5.2020 12.00,0.048,0
7.5.2020 13.00,0.047,0
7.5.2020 14.00,0.048,0
7.5.2020 15.00,0.047,0
7.5.2020 16.00,0.047,0
7.5.2020 17.00,0.048,0
7.5.2020 18.00,0.047,0
7.5.2020 19.00,0.047,0
7.5.2020 20.00,0.048,0
7.5.2020 21.00,0.047,0
7.5.2020 22.00,0.048,0
7.5.2020 23.00,0.047,0
8.5.2020 0.00,0.047,0
8.5.2020 1.00,0.048,0
8.5.2020 2.00,0.047,0
8.5.2020 3.00,0.047,0
8.5.2020 4.00,0.048,0
8.5.2020 5.00,0.047,0
8.5.2020 6.00,0.048,0
8.5.2020 7.00,0.047,0
8.5.2020 8.00,0.047,0
8.5.2020 9.00,0.048,0
8.5.2020 10.00,0.047,0
8.5.2020 11.00,0.047,0
8.5.2020 12.00,0.048,0
8.5.2020 13.00,0.047,0
8.5.2020 14.00,0.048,0
8.5.2020 15.00,0.047,0
8.5.2020 16.00,0.047,0
8.5.2020 17.00,0.048,0
8.5.2020 18.00,0.047,0
8.5.2020 19.00,0.047,0
8.5.2020 20.00,0.048,0
8.5.2020 21.00,0.047,0
8.5.2020 22.00,0.048,0
8.5.2020 23.00,0.047,0
9.5.2020 0.00,0.047,0
9.5.2020 1.00,0.048,0
9.5.2020 2.00,0.047,0
9.5.2020 3.00,0.047,0
9.5.2020 4.00,0.048,0
9.5.2020 5.00,0.047,0
9.5.2020 6.00,0.048,0
9.5.2020 7.00,0.047,0
9.5.2020 8.00,0.047,0
9.5.2020 9.00,0.048,0
9.5.2020 10.00,0.047,0
9.5.2020 11.00,0.047,0
9.5.2020 12.00,0.048,0
9.5.2020 13.00,0.047,0
9.5.2020 14.00,0.048,0
9.5.2020 15.00,0.047,0
9.5.2020 16.00,0.047,0
9.5.2020 17.00,0.048,0
9.5.2020 18.00,0.047,0
9.5.2020 19.00,0.047,0
9.5.2020 20.00,0.048,0
9.5.2020 21.00,0.047,0
9.5.2020 22.00,0.048,0
9.5.2020 23.00,0.047,0
10.5.2020 0.00,0.047,0
10.5.2020 1.00,0.048,0
10.5.2020 2.00,0.047,0
10.5.2020 3.00,0.047,0
10.5.2020 4.00,0.048,0
10.5.2020 5.00,0.047,0
10.5.2020 6.00,0.048,0
10.5.2020 7.00,0.047,0
10.5.2020 8.00,0.047,0
10.5.2020 9.00,0.048,0
10.5.2020 10.00,0.047,0
10.5.2020 11.00,0.047,0
10.5.2020 12.00,0.048,0
10.5.2020 13.00,0.047,0
10.5.2020 14.00,0.048,0
10.5.2020 15.00,0.047,0
10.5.2020 16.00,0.047,0
10.5.2020 17.00,0.048,0
10.5.2020 18.00,0.047,0
10.5.2020 19.00,0.047,0
10.5.2020 20.00,0.048,0
10.5.2020 21.00,0.047,0
10.5.2020 22.00,0.048,0
10.5.2020 23.00,0.047,0
11.5.2020 0.00,0.047,0
11.5.2020 1.00,0.048,0
11.5.2020 2.00,0.047,0
11.5.2020 3.00,0.047,0
11.5.2020 4.00,0.048,0
11.5.2020 5.00,0.047,0
11.5.2020 6.00,0.048,0
11.5.2020 7.00,0.047,0
11.5.2020 8.00,0.047,0
11.5.2020 9.00,0.048,0
11.5.2020 10.00,0.047,0
11.5.2020 11.00,0.047,0
11.5.2020 12.00,0.048,0
11.5.2020 13.00,0.047,0
11.5.2020 14.00,0.048,0
11.5.2020 15.00,0.047,0
11.5.2020 16.00,0.047,0
11.5.2020 17.00,0.048,0
11.5.2020 18.00,0.047,0
11.5.2020 19.00,0.047,0
11.5.2020 20.00,0.048,0
11.5.2020 21.00,0.047,0
11.5.2020 22.00,0.048,0
11.5.2020 23.00,0.047,0
12.5.2020 0.00,0.047,0
12.5.2020 1.00,0.048,0
12.5.2020 2.00,0.047,0
12.5.2020 3.00,0.047,0
12.5.2020 4.00,0.048,0
12.5.2020 5.00,0.047,0
12.5.2020 6.00,0.048,0
12.5.2020 7.00,0.047,0
12.5.2020 8.00,0.047,0
12.5.2020 9.00,0.048,0
12.5.2020 10.00,0.047,0
12.5.2020 11.00,0.047,0
12.5.2020 12.00,0.048,0
12.5.2020 13.00,0.047,0
12.5.2020 14.00,0.048,0
12.5.2020 15.00,0.047,0
12.5.2020 16.00,0.047,0
12.5.2020 17.00,0.048,0
12.5.2020 18.00,0.047,0
12.5.2020 19.00,0.047,0
12.5.2020 20.00,0.048,0
12.5.2020 21.00,0.047,0
12.5.2020 22.00,0.048,0
12.5.2020 23.00,0.047,0
13.5.2020 0.00,0.047,0
13.5.2020 1.00,0.048,0
13.5.2020 2.00,0.047,0
13.5.2020 3.00,0.047,0
13.5.2020 4.00,0.048,0
13.5.2020 5.00,0.047,0
13.5.2020 6.00,0.048,0
13.5.2020 7.00,0.047,0
13.5.2020 8.00,0.047,0
13.5.2020 9.00,0.048,0
13.5.2020 10.00,0.047,0
13.5.2020 11.00,0.047,0
13.5.2020 12.00,0.048,0
13.5.2020 13.00,0.047,0
13.5.2020 14.00,0.048,0
13.5.2020 15.00,0.047,0
13.5.2020 16.00,0.047,0
13.5.2020 17.00,0.048,0
13.5.2020 18.00,0.047,0
13.5.2020 19.00,0.047,0
13.5.2020 20.00,0.048,0
13.5.2020 21.00,0.047,0
13.5.2020 22.00,0.048,0
13.5.2020 23.00,0.047,0
14.5.2020 0.00,0.047,0
14.5.2020 1.00,0.048,0
14.5.2020 2.00,0.047,0
14.5.2020 3.00,0.047,0
14.5.2020 4.00,0.048,0
14.5.2020 5.00,0.047,0
14.5.2020 6.00,0.048,0
14.5.2020 7.00,0.047,0
14.5.2020 8.00,0.047,0
14.5.2020 9.00,0.048,0
14.5.2020 10.00,0.047,0
14.5.2020 11.00,0.047,0
14.5.2020 12.00,0.048,0
14.5.2020 13.00,0.047,0
14.5.2020 14.00,0.048,0
14.5.2020 15.00,0.047,0
14.5.2020 16.00,0.047,0
14.5.2020 17.00,0.048,0
14.5.2020 18.00,0.047,0
14.5.2020 19.00,0.047,0
14.5.2020 20.00,0.048,0
14.5.2020 21.00,0.047,0
14.5.2020 22.00,0.048,0
14.5.2020 23.00,0.047,0
15.5.2020 0.00,0.047,0
15.5.2020 1.00,0.048,0
15.5.2020 2.00,0.047,0
15.5.2020 3.00,0.047,0
15.5.2020 4.00,0.048,0
15.5.2020 5.00,0.047,0
15.5.2020 6.00,0.048,0
15.5.2020 7.00,0.047,0
15.5.2020 8.00,0.047,0
15.5.2020 9.00,0.048,0
15.5.2020 10.00,0.047,0
15.5.2020 11.00,0.047,0
15.5.2020 12.00,0.048,0
15.5.2020 13.00,0.047,0
15.5.2020 14.00,0.048,0
15.5.2020 15.00,0.047,0
15.5.2020 16.00,0.047,0
15.5.2020 17.00,0.048,0
15.5.2020 18.00,0.047,0
15.5.2020 19.00,0.047,0
15.5.2020 20.00,0.048,0
15.5.2020 21.00,0.047,0
15.5.2020 22.00,0.048,0
15.5.2020 23.00,0.047,0
16.5.2020 0.00,0.047,0
